company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
MUTHOOTFIN,25-Mar-2021,1000.0,1166.0,131460.0,P,750,0.0,151.5,1500.0,21.95,19.0,1500.0,-14.236706689536879,12.522820629849384
RAMCOCEM,25-Mar-2021,960.0,875.0,107678.0,C,850,0.0,0.25,850.0,,,,9.714285714285714,0.0
JSWSTEEL,25-Mar-2021,345.0,403.0,158638.5,P,2700,0.0,51.4,62100.0,0.0,0.1,2700.0,-14.392059553349876,0.0
RAMCOCEM,25-Mar-2021,970.0,875.0,116390.5,C,850,0.0,0.25,850.0,,,,10.857142857142858,0.0
MUTHOOTFIN,25-Mar-2021,1020.0,1166.0,138135.0,P,750,0.0,126.85,17250.0,0.0,18.0,3000.0,-12.521440823327614,0.0
JSWSTEEL,25-Mar-2021,340.0,403.0,152550.0,P,2700,0.0,55.9,62100.0,0.0,0.1,2700.0,-15.632754342431761,0.0
NESTLEIND,25-Mar-2021,18300.0,17109.3,122683.0,C,50,,,,0.0,0.0,0.0,6.959372972593856,
JSWSTEEL,25-Mar-2021,335.0,403.0,146974.5,P,2700,0.0,62.35,62100.0,0.0,0.1,2700.0,-16.87344913151365,0.0
RAMCOCEM,25-Mar-2021,980.0,875.0,97945.5,C,850,0.0,6.55,1700.0,,,,12.0,0.0
RAMCOCEM,25-Mar-2021,950.0,875.0,113568.5,C,850,0.0,0.25,10200.0,,,,8.571428571428571,0.0
JSWSTEEL,25-Mar-2021,330.0,403.0,143208.0,P,2700,0.0,66.6,62100.0,0.0,1.15,5400.0,-18.11414392059553,0.0
JSWSTEEL,25-Mar-2021,325.0,403.0,137227.5,P,2700,0.0,70.7,62100.0,0.0,0.1,2700.0,-19.35483870967742,0.0
MUTHOOTFIN,25-Mar-2021,1060.0,1166.0,158152.5,P,750,0.0,88.85,17250.0,0.0,0.25,750.0,-9.090909090909092,0.0
MUTHOOTFIN,25-Mar-2021,1080.0,1166.0,170587.5,P,750,0.0,62.25,17250.0,0.0,29.8,1500.0,-7.375643224699828,0.0
RAMCOCEM,25-Mar-2021,1000.0,875.0,89182.0,C,850,0.0,0.15,850.0,,,,14.285714285714285,0.0
JINDALSTEL,25-Mar-2021,360.0,300.65,308800.0,C,5000,0.0,1.55,5000.0,0.0,50.9,115000.0,19.74056211541661,0.0
NESTLEIND,25-Mar-2021,18200.0,17109.3,126001.5,C,50,,,,0.0,0.0,0.0,6.374895524656185,
JINDALSTEL,25-Mar-2021,355.0,300.65,375425.0,C,5000,0.0,4.2,5000.0,0.0,47.4,115000.0,18.077498752702486,0.0
MUTHOOTFIN,25-Mar-2021,1100.0,1166.0,183150.0,P,750,0.0,11.35,1500.0,53.0,50.75,750.0,-5.660377358490567,21.703521703521705
RAMCOCEM,25-Mar-2021,1010.0,875.0,100019.5,C,850,0.0,0.15,850.0,,,,15.428571428571427,0.0
JINDALSTEL,25-Mar-2021,350.0,300.65,387350.0,C,5000,0.0,6.75,10000.0,0.0,42.75,115000.0,16.414435389988366,0.0
RAMCOCEM,25-Mar-2021,990.0,875.0,107822.5,C,850,0.0,0.25,850.0,,,,13.142857142857142,0.0
MUTHOOTFIN,25-Mar-2021,1040.0,1166.0,146055.0,P,750,0.0,107.85,17250.0,0.0,8.5,1500.0,-10.806174957118353,0.0
L&TFH,25-Mar-2021,97.65,90.35,0.0,C,8924,0.0,0.1,8924.0,,,,8.079690094078597,
KOTAKBANK,25-Mar-2021,2260.0,1989.35,136016.0,C,400,0.0,0.6,4000.0,0.0,248.25,9200.0,13.604946339256546,0.0
